央视频道,#genre#
CCTV6,http://111.14.181.15:9901/tsfile/live/0006_1.m3u8
CCTV6,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV6,http://58.17.48.228:808/hls/6/index.m3u8
CCTV6,http://1b6467f415.iok.la:9931/tsfile/live/1026_1.m3u8
CCTV6,http://123.130.84.106:8154/tsfile/live/0006_1.m3u8
CCTV6,http://180.158.165.218:4022/udp/239.45.1.70:5140
CCTV6,http://60.26.181.87:4022/udp/225.1.1.195:5002
CCTV6,http://110.53.52.63:8888/newlive/live/hls/8/live.m3u8
CCTV6,http://218.3.138.25:1111/tsfile/live/1005_1.m3u8
CCTV6,http://111.43.126.240:9003/hls/19/index.m3u8
CCTV6,http://124.128.73.58:9901/tsfile/live/0006_1.m3u8
CCTV6,http://183.11.239.36:808/hls/94/index.m3u8
CCTV7,http://112.123.206.32:808/hls/7/index.m3u8
CCTV7,http://124.128.73.58:9901/tsfile/live/0007_1.m3u8
CCTV7,http://219.135.180.210:18888/hls/7/index.m3u8
CCTV7,http://60.26.181.87:4022/udp/225.1.1.138:5002
CCTV7,http://101.65.34.154:9901/tsfile/live/0007_1.m3u8
CCTV7,http://27.189.126.35:4022/rtp/239.254.200.159:6000
CCTV7,http://111.14.181.15:9901/tsfile/live/0007_1.m3u8
CCTV7,http://8.138.7.223/tv/cctv7.m3u8
CCTV7,http://iptv.tvfix.org/hls/cctv7hd.m3u8
CCTV7,http://121.29.141.230:4022/rtp/239.253.92.194:6059
CCTV7,http://180.158.165.218:4022/udp/239.45.3.56:5140
CCTV7,http://58.57.40.22:9901/tsfile/live/1007_1.m3u8
CCTV7,http://123.130.84.106:8154/tsfile/live/0007_1.m3u8
CCTV7,http://121.17.146.34:50003/hls/7/index.m3u8
CCTV7,http://125.118.21.66:4022/udp/233.50.200.24:5140
CCTV7,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV7,http://221.213.91.104:9901/tsfile/live/0007_1.m3u8
CCTV7,http://115.227.64.95:4022/udp/233.50.200.24:5140
CCTV8,http://121.17.146.34:50003/hls/8/index.m3u8
CCTV8,http://123.130.84.106:8154/tsfile/live/0008_1.m3u8
CCTV8,http://58.57.40.22:9901/tsfile/live/1008_1.m3u8
CCTV8,http://60.26.181.87:4022/udp/225.1.1.196:5002
CCTV8,http://113.57.93.165:9900/tsfile/live/0008_1.m3u8
CCTV8,http://124.128.73.58:9901/tsfile/live/0008_1.m3u8
CCTV8,http://218.3.138.25:1111/tsfile/live/1007_1.m3u8
CCTV8,http://111.14.181.15:9901/tsfile/live/0008_1.m3u8
CCTV8,http://180.158.165.218:4022/udp/239.45.1.71:5140
CCTV8,http://58.17.48.228:808/hls/8/index.m3u8
CCTV8,http://112.101.78.50:9901/tsfile/live/0008_1.m3u8
CCTV8,http://125.118.21.66:4022/udp/233.50.201.199:5140
CCTV8,http://221.213.91.104:9901/tsfile/live/0008_1.m3u8
CCTV8,http://111.43.126.240:9003/hls/21/index.m3u8
CCTV8,http://27.189.126.35:4022/rtp/239.254.201.155:7208
CCTV8,http://iptv.tvfix.org/hls/cctv8hd.m3u8
CCTV8,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV9,http://180.158.165.218:4022/udp/239.45.3.4:5140
CCTV9,http://124.128.73.58:9901/tsfile/live/0009_1.m3u8
CCTV9,http://111.43.126.240:9003/hls/22/index.m3u8
CCTV9,http://121.29.141.230:4022/rtp/239.253.92.107:6020
CCTV9,http://60.26.181.87:4022/udp/225.1.1.119:5002
CCTV9,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV9,http://180.213.174.225:9901/tsfile/live/0009_1.m3u8
CCTV9,http://58.17.48.228:808/hls/9/index.m3u8
CCTV9,http://221.213.91.104:9901/tsfile/live/0009_1.m3u8
CCTV9,http://111.14.181.15:9901/tsfile/live/0009_1.m3u8
CCTV9,http://110.53.52.63:8888/newlive/live/hls/11/live.m3u8
CCTV9,http://112.101.78.50:9901/tsfile/live/0009_1.m3u8
CCTV9,http://123.130.84.106:8154/tsfile/live/0009_1.m3u8
CCTV9,http://125.118.21.66:4022/udp/233.50.201.121:5140
CCTV9,http://183.11.239.36:808/hls/27/index.m3u8
CCTV10,http://27.189.126.35:4022/rtp/239.254.200.160:6000
CCTV10,http://124.128.73.58:9901/tsfile/live/0010_1.m3u8
CCTV10,http://221.213.91.104:9901/tsfile/live/0010_1.m3u8
CCTV10,http://1b6467f415.iok.la:9931/tsfile/live/1030_1.m3u8
CCTV10,http://115.227.64.95:4022/udp/233.50.201.122:5140
CCTV10,http://111.14.181.15:9901/tsfile/live/0010_1.m3u8
CCTV10,http://123.130.84.106:8154/tsfile/live/0010_1.m3u8
CCTV10,http://180.213.174.225:9901/tsfile/live/0010_1.m3u8
CCTV10,http://58.57.40.22:9901/tsfile/live/1010_1.m3u8
CCTV10,http://iptv.tvfix.org/hls/cctv10hd.m3u8
CCTV10,http://111.43.126.240:9003/hls/23/index.m3u8
CCTV10,http://121.29.141.230:4022/rtp/239.253.92.196:6061
CCTV10,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV10,http://180.158.165.218:4022/udp/239.45.3.8:5140
CCTV10,http://58.17.48.228:808/hls/10/index.m3u8
CCTV11,http://121.29.141.230:4022/rtp/239.253.93.153:6321
CCTV11,http://27.189.126.35:4022/rtp/239.254.201.123:8120
CCTV11,http://180.213.174.225:9901/tsfile/live/0011_1.m3u8
CCTV11,http://58.19.43.46:9901/tsfile/live/1030_1.m3u8
CCTV11,http://iptv.tvfix.org/hls/cctv11hd.m3u8
CCTV11,http://123.130.84.106:8154/tsfile/live/0011_1.m3u8
CCTV11,http://111.43.126.240:9003/hls/24/index.m3u8
CCTV11,http://183.11.239.36:808/hls/29/index.m3u8
CCTV11,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV11,http://39.164.160.249:9901/tsfile/live/0011_1.m3u8
CCTV11,http://221.213.91.104:9901/tsfile/live/0011_1.m3u8
CCTV11,http://111.14.181.15:9901/tsfile/live/0011_1.m3u8
CCTV11,http://111.61.236.247:9081/hls/11/index.m3u8
CCTV11,http://124.128.73.58:9901/tsfile/live/0011_1.m3u8
CCTV12,http://113.57.93.165:9900/tsfile/live/0012_1.m3u8
CCTV12,http://111.43.126.240:9003/hls/25/index.m3u8
CCTV12,http://180.213.174.225:9901/tsfile/live/0012_1.m3u8
CCTV12,http://123.129.70.178:9901/tsfile/live/0012_1.m3u8
CCTV12,http://121.29.141.230:4022/rtp/239.253.92.197:6062
CCTV12,http://111.14.181.15:9901/tsfile/live/0012_1.m3u8
CCTV12,http://58.57.40.22:9901/tsfile/live/1012_1.m3u8
CCTV12,http://123.130.84.106:8154/tsfile/live/0012_1.m3u8
CCTV12,http://iptv.tvfix.org/hls/cctv12hd.m3u8
CCTV12,http://124.128.73.58:9901/tsfile/live/0012_1.m3u8
CCTV12,http://120.76.248.139/live/bfgd/4200000131.m3u8
CCTV12,http://27.189.126.35:4022/rtp/239.254.200.161:6000
CCTV12,http://58.19.43.46:9901/tsfile/live/1031_1.m3u8
CCTV12,http://180.158.165.218:4022/udp/239.45.3.10:5140
CCTV12,http://221.213.91.104:9901/tsfile/live/0012_1.m3u8
CCTV13,http://112.123.206.32:808/hls/13/index.m3u8
CCTV13,http://60.26.181.87:4022/udp/225.1.2.193:5002
CCTV13,http://58.57.40.22:9901/tsfile/live/1013_1.m3u8
CCTV13,http://123.130.84.106:8154/tsfile/live/0013_1.m3u8
CCTV13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8
CCTV13,http://180.213.174.225:9901/tsfile/live/0013_1.m3u8
CCTV13,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV13,https://ldncctvwbcdcnc.v.wscdns.com/ldncctvwbcd/cdrmldcctv13_1/index.m3u8
CCTV13,http://jwplay.hebyun.com.cn/live/cctv13/1500k/tzwj_video.m3u8
CCTV13,http://221.213.91.104:9901/tsfile/live/0013_1.m3u8
CCTV13,http://121.29.141.230:4022/rtp/239.253.92.13:8008
CCTV13,http://iptv.tvfix.org/hls/cctv13hd.m3u8
CCTV13,https://event.pull.hebtv.com/jishi/cp1.m3u8
CCTV13,http://111.14.181.15:9901/tsfile/live/0013_1.m3u8
CCTV13,http://218.3.138.25:1111/tsfile/live/1012_1.m3u8
CCTV13,http://27.189.126.35:4022/rtp/239.254.200.9:8264
CCTV13,http://124.128.73.58:9901/tsfile/live/0013_1.m3u8
CCTV13,http://111.43.126.240:9003/hls/26/index.m3u8
CCTV14,http://180.158.165.218:4022/udp/239.45.3.23:5140
CCTV14,http://111.14.181.15:9901/tsfile/live/0014_1.m3u8
CCTV14,http://27.189.126.35:4022/rtp/239.254.200.162:6000
CCTV14,http://110.53.52.63:8888/newlive/live/hls/16/live.m3u8
CCTV14,http://60.26.181.87:4022/udp/225.1.1.144:5002
CCTV14,http://180.213.174.225:9901/tsfile/live/0014_1.m3u8
CCTV14,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV14,http://iptv.tvfix.org/hls/cctv14hd.m3u8
CCTV14,http://121.29.141.230:4022/rtp/239.253.92.198:6063
CCTV14,http://112.101.78.50:9901/tsfile/live/0014_1.m3u8
CCTV14,http://123.130.84.106:8154/tsfile/live/0014_1.m3u8
CCTV14,https://event.pull.hebtv.com/jishi/cp2.m3u8
CCTV14,http://58.57.40.22:9901/tsfile/live/1014_1.m3u8
CCTV14,http://111.43.126.240:9003/hls/27/index.m3u8
CCTV14,http://221.213.91.104:9901/tsfile/live/0014_1.m3u8
CCTV14,http://58.17.48.228:808/hls/14/index.m3u8
CCTV15,http://221.213.91.104:9901/tsfile/live/0015_1.m3u8
CCTV15,http://27.189.126.35:4022/rtp/239.254.201.124:8136
CCTV15,http://124.128.73.58:9901/tsfile/live/0015_1.m3u8
CCTV15,http://60.26.181.87:4022/udp/225.1.2.194:5002
CCTV15,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV15,http://111.14.181.15:9901/tsfile/live/0015_1.m3u8
CCTV15,http://180.213.174.225:9901/tsfile/live/0015_1.m3u8
CCTV15,http://121.29.141.230:4022/rtp/239.253.93.154:6322
CCTV15,http://110.53.52.63:8888/newlive/live/hls/17/live.m3u8
CCTV15,http://gmxw.7766.org:808/hls/102/index.m3u8
CCTV15,http://58.57.40.22:9901/tsfile/live/1015_1.m3u8
CCTV15,http://123.130.84.106:8154/tsfile/live/0015_1.m3u8
CCTV15,http://39.164.160.249:9901/tsfile/live/0015_1.m3u8
CCTV16,http://58.17.48.228:808/hls/25/index.m3u8
CCTV16,http://60.26.181.87:4022/udp/225.1.2.237:5002
CCTV16,http://125.118.21.66:4022/udp/233.50.201.192:5140
CCTV16,http://125.118.21.66:4022/udp/233.50.201.63:5140
CCTV16,http://183.11.239.36:808/hls/169/index.m3u8
CCTV16,http://115.227.64.95:4022/udp/233.50.201.192:5140
CCTV16,http://115.227.64.95:4022/udp/233.50.201.63:5140
CCTV16,http://iptv.tvfix.org/hls/cctv16hd.m3u8
CCTV16,http://219.135.180.210:18888/hls/31/index.m3u8
CCTV16,http://111.43.126.240:9003/hls/29/index.m3u8
CCTV17,http://113.9.31.17:4000/rtp/229.58.190.211:5000
CCTV17,http://123.130.84.106:8154/tsfile/live/0019_1.m3u8
CCTV17,http://58.19.43.46:9901/tsfile/live/1047_1.m3u8
CCTV17,http://60.26.181.87:4022/udp/225.1.2.52:5002
CCTV17,http://180.158.165.218:4022/udp/239.45.3.52:5140
CCTV17,http://219.135.180.210:18888/hls/24/index.m3u8
CCTV17,http://27.189.126.35:4022/rtp/239.254.201.120:8144
CCTV17,http://iptv.tvfix.org/hls/cctv17hd.m3u8
CCTV17,http://111.43.126.240:9003/hls/30/index.m3u8
CCTV17,http://121.29.141.230:4022/rtp/239.253.93.150:6318
CCTV17,http://120.76.248.139/live/bfgd/4200000204.m3u8
CCTV兵器科技,http://27.189.126.35:4022/rtp/239.254.201.225:7249
CCTV怀旧剧场,http://121.29.141.230:4022/rtp/239.253.93.252:6430
CCTV风云足球,https://epg.pw/stream/ac8062ec9484078061d3bef507c15a423ac57ae4144e3fcc4b0a198dd420f911.m3u8
CCTV第一剧场,http://60.26.181.87:4022/udp/225.1.2.175:5002
CCTV文化精品,http://121.29.141.230:4022/rtp/239.253.93.175:6439
CCTV第一剧场,http://121.29.141.230:4022/rtp/239.253.93.138:6428
CCTV女性时尚,http://60.26.181.87:4022/udp/225.1.2.172:5002
CCTV怀旧剧场,http://27.189.126.35:4022/rtp/239.254.201.220:7256上海
CCTV风云剧场,http://27.189.126.35:4022/rtp/239.254.201.219:7257
CCTV怀旧剧场,http://60.26.181.87:4022/udp/225.1.2.173:5002
CCTV世界地理,http://121.29.141.230:4022/rtp/239.253.92.131:6113
CCTV风云剧场,http://121.29.141.230:4022/rtp/239.253.93.251:6429
CCTV高尔夫网球,http://27.189.126.35:4022/rtp/239.254.201.223:7252
CCTV兵器科技,http://121.29.141.230:4022/rtp/239.253.93.47:6435
CCTV兵器科技,http://60.26.181.87:4022/udp/225.1.2.166:5002
CCTV风云足球,http://60.26.181.87:4022/udp/225.1.2.168:5002
