天津频道,#genre#
天津新闻,http://60.26.181.87:4022/udp/225.1.1.130:5002
天津都市,http://60.26.181.87:4022/udp/225.1.1.128:5002
天津文艺,http://60.26.181.87:4022/udp/225.1.1.131:5002
天津,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/5f03d9f1684241f696b25a19ffc44145/main.m3u8
津南一套,http://61.147.106.103/play.jinnantv.top/live/JNTV1.m3u8
天津都市,http://180.213.174.225:9901/tsfile/live/1001_1.m3u8
武清综合,https://tvpull.smartwq.cn/wqlive/convergencemedia/playlist.m3u8
天津新闻,http://180.213.174.225:9901/tsfile/live/0018_1.m3u8
天津文艺,http://180.213.174.225:9901/tsfile/live/0019_1.m3u8
