卫视频道,#genre#
安徽卫视,http://39.164.180.36:19901/tsfile/live/0130_1.m3u8
云南卫视,http://39.164.180.36:19901/tsfile/live/0119_1.m3u8
贵州卫视,http://111.14.181.15:9901/tsfile/live/0120_1.m3u8
贵州卫视,http://39.164.180.36:19901/tsfile/live/0120_1.m3u8
广西卫视,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8
广东卫视,http://39.164.160.249:9901/tsfile/live/0125_1.m3u8
香港卫视文旅,https://epg.pw/stream/ba73bee0ff70c645c56f02c90b6f25d1f35dd3f2048282d55f0662631f850fad.m3u8
江西卫视,http://39.164.180.36:19901/tsfile/live/0138_1.m3u8
山西卫视,http://39.164.180.36:19901/tsfile/live/0118_1.m3u8
天津卫视,http://39.164.180.36:19901/tsfile/live/0135_1.m3u8
陕西卫视,http://111.14.181.15:9901/tsfile/live/0136_1.m3u8
安徽卫视,http://39.164.160.249:9901/tsfile/live/0130_1.m3u8
江西卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8
黑龙江卫视,http://39.164.180.36:19901/tsfile/live/0143_1.m3u8
宁夏卫视,http://39.164.180.36:19901/tsfile/live/0112_1.m3u8
黑龙江卫视,http://39.150.96.141:65535/tsfile/live/0143_1.m3u8
陕西卫视,http://39.164.180.36:19901/tsfile/live/0136_1.m3u8
湖南卫视,https://epg.pw/stream/ca45d063221fb35e29d63352e2db10f8ca2ef9b3852fca0f6a2e16699db3c0c5.m3u8
河北卫视,http://39.164.160.249:9901/tsfile/live/0117_1.m3u8
山东卫视,https://epg.pw/stream/6e0b6e5fe80e21289c27ceeafced6800e23f6c48ade127aa20eb2712aebd2b2a.m3u8
江苏卫视,http://39.164.160.249:9901/tsfile/live/0127_1.m3u8
河南卫视,http://39.164.160.249:9901/tsfile/live/0139_1.m3u8
重庆卫视,http://39.164.180.36:19901/tsfile/live/0142_1.m3u8
山东卫视,http://39.150.96.141:65535/tsfile/live/0131_1.m3u8
吉林卫视,http://39.164.180.36:19901/tsfile/live/0116_1.m3u8
湖北卫视,http://39.150.96.141:65535/tsfile/live/0132_1.m3u8
四川卫视,http://39.164.180.36:19901/tsfile/live/0123_1.m3u8
山东卫视,http://39.164.180.36:19901/tsfile/live/0131_1.m3u8
辽宁卫视,http://39.164.160.249:9901/tsfile/live/0121_1.m3u8
湖北卫视,http://39.164.180.36:19901/tsfile/live/0132_1.m3u8
香港卫视文旅,https://epg.pw/stream/092a08c73e2f252b5b864bbf21fc7753e7c59c706165977ab071e8b2216da0cb.m3u8
陕西卫视,http://39.164.160.249:9901/tsfile/live/0136_1.m3u8
北京卫视,http://39.164.180.36:19901/tsfile/live/0122_1.m3u8
香港卫视文旅,https://epg.pw/stream/7cbda7050cd5ab5eed508b1f8d71624178238d4540c72e6f191a145534a1c012.m3u8
广西卫视,http://119.39.9.8:9901/tsfile/live/0113_1.m3u8
三沙卫视,https://epg.pw/stream/c4ba0d95e8a9b1c1da11803b921178cb165d67aebc2806e0f29d2180c05e684a.m3u8
山东卫视,http://39.164.160.249:9901/tsfile/live/0131_1.m3u8
河南卫视,http://113.57.93.165:9900/tsfile/live/1006_1.m3u8
吉林卫视,http://110.53.218.182:9902/tsfile/live/0116_1.m3u8
内蒙古卫视,http://8.138.7.223/tv/nmgws.m3u8
江苏卫视,http://101.66.198.240:9901/tsfile/live/0017_1.m3u8
莲花卫视,http://8.138.7.223/tv/lotustv.m3u8
西藏卫视,http://119.123.178.225:8086/hls/152/index.m3u8
吉林卫视,http://101.66.198.240:9901/tsfile/live/0116_1.m3u8
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8
贵州卫视,http://58.221.214.82:9901/tsfile/live/0120_1.m3u8
湖南卫视,http://58.19.38.162:9901/tsfile/live/0128_1.m3u8
广东卫视,http://58.19.43.46:9901/tsfile/live/1039_1.m3u8
新疆卫视,http://58.19.38.162:9901/tsfile/live/0110_1.m3u8
重庆卫视,http://58.19.43.46:9901/tsfile/live/1042_1.m3u8
湖南卫视,http://58.19.43.46:9901/tsfile/live/1036_1.m3u8
东方卫视,http://58.19.43.46:9901/tsfile/live/1035_1.m3u8
青海卫视,http://58.19.43.46:9901/tsfile/live/1014_1.m3u8
宁夏卫视,http://58.19.43.46:9901/tsfile/live/1003_1.m3u8
江苏卫视,http://58.19.43.46:9901/tsfile/live/1038_1.m3u8
云南卫视,http://101.66.198.240:9901/tsfile/live/0119_1.m3u8
山东卫视,http://58.19.38.162:9901/tsfile/live/0131_1.m3u8
湖北卫视,http://113.57.93.165:9900/tsfile/live/0132_1.m3u8
广东卫视,http://113.57.93.165:9900/tsfile/live/0125_1.m3u8
四川卫视,http://110.53.218.182:9902/tsfile/live/0123_1.m3u8
湖北卫视,http://111.14.181.15:9901/tsfile/live/0132_1.m3u8
浙江卫视,http://113.57.93.165:9900/tsfile/live/0124_1.m3u8
兵团卫视,http://120.76.248.139/live/bfgd/4200000124.m3u8
山东卫视,http://119.39.9.8:9901/tsfile/live/0131_1.m3u8
湖南卫视,http://101.66.198.240:9901/tsfile/live/0019_1.m3u8
浙江卫视,http://58.19.43.46:9901/tsfile/live/1037_1.m3u8
山西卫视,http://101.65.34.154:9901/tsfile/live/0109_2.m3u8
江苏卫视,http://221.226.4.10:9901/tsfile/live/1006_1.m3u8
新疆卫视,http://218.13.170.98:9901/tsfile/live/0110_1.m3u8
东方卫视,http://113.195.8.140:9901/tsfile/live/0107_2.m3u8
河南卫视,http://58.19.43.46:9901/tsfile/live/1006_1.m3u8
黑龙江卫视,http://101.66.198.240:9901/tsfile/live/0143_1.m3u8
河南卫视,http://58.19.38.162:9901/tsfile/live/0139_1.m3u8
湖南卫视,http://58.17.48.228:808/hls/31/index.m3u8
西藏卫视,http://218.13.170.98:9901/tsfile/live/0111_1.m3u8
重庆卫视,http://110.53.218.182:9902/tsfile/live/0142_1.m3u8
浙江卫视,http://110.53.218.182:9902/tsfile/live/0124_2.m3u8
浙江卫视,http://101.66.198.240:9901/tsfile/live/0124_1.m3u8
大湾区卫视,https://epg.pw/stream/255a4080ec98d7fdd51588ebc7d2c56a78e5e0cd46492f502e2cad43c7a28dc7.m3u8
吉林卫视,http://58.19.43.46:9901/tsfile/live/1007_1.m3u8
吉林卫视,http://218.13.170.98:9901/tsfile/live/1018_1.m3u8
吉林卫视,http://119.123.178.225:8086/hls/150/index.m3u8
天津卫视,http://110.53.218.182:9902/tsfile/live/0135_1.m3u8
湖北卫视,http://58.19.43.46:9901/tsfile/live/1044_1.m3u8
江苏卫视,http://101.65.34.154:9901/tsfile/live/0017_1.m3u8
陕西卫视,http://119.39.9.8:9901/tsfile/live/0136_1.m3u8
山西卫视,http://110.53.218.182:9902/tsfile/live/0118_1.m3u8
北京卫视,http://58.221.214.82:9901/tsfile/live/0122_1.m3u8
湖南卫视,http://218.3.138.25:1111/tsfile/live/1018_1.m3u8
东方卫视,http://123.129.70.178:9901/tsfile/live/0107_1.m3u8
贵州卫视,http://101.65.34.154:9901/tsfile/live/0142_1.m3u8
辽宁卫视,http://113.57.93.165:9900/tsfile/live/0121_1.m3u8
大湾区卫视,http://120.77.205.62:8087/rtp/239.77.0.215:5146
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
河北卫视,http://101.66.198.240:9901/tsfile/live/0117_1.m3u8
北京卫视,http://110.53.218.182:9902/tsfile/live/0122_1.m3u8
上海卫视,http://113.57.93.165:9900/tsfile/live/0107_1.m3u8
兵团卫视,http://8.138.7.223/tv/btws.m3u8
四川卫视,http://58.19.43.46:9901/tsfile/live/1043_1.m3u8
山西卫视,http://58.19.43.46:9901/tsfile/live/1009_1.m3u8
天津卫视,http://101.65.34.154:9901/tsfile/live/0135_1.m3u8
黑龙江卫视,http://58.221.214.82:9901/tsfile/live/0143_1.m3u8
贵州卫视,http://221.226.4.10:9901/tsfile/live/0120_1.m3u8
湖南卫视,http://58.221.214.82:9901/tsfile/live/0128_1.m3u8
天津卫视,http://183.11.239.36:808/hls/42/index.m3u8
吉林卫视,http://119.39.9.8:9901/tsfile/live/0116_1.m3u8
云南卫视,http://58.19.38.162:9901/tsfile/live/0119_1.m3u8
大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8
安徽卫视,http://58.221.214.82:9901/tsfile/live/0130_1.m3u8
宁夏卫视,http://101.66.198.240:9901/tsfile/live/0112_1.m3u8
上海卫视,http://218.3.138.25:1111/tsfile/live/1020_1.m3u8
浙江卫视,http://8.138.7.223/tv/zjws.m3u8
河北卫视,http://61.156.228.12:8154/tsfile/live/0117_1.m3u8
河南卫视,http://58.221.214.82:9901/tsfile/live/0139_1.m3u8
辽宁卫视,http://115.149.139.141:10001/tsfile/live/1028_1.m3u8
贵州卫视,http://183.11.239.36:808/hls/49/index.m3u8
湖北卫视,http://101.66.198.240:9901/tsfile/live/0132_1.m3u8
甘肃卫视,http://119.39.9.8:9901/tsfile/live/0141_1.m3u8
深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8
吉林卫视,http://113.57.93.165:9900/tsfile/live/1007_1.m3u8
重庆卫视,http://113.195.8.140:9901/tsfile/live/0142_2.m3u8
山西卫视,http://218.13.170.98:9901/tsfile/live/0118_1.m3u8
辽宁卫视,http://113.195.8.140:9901/tsfile/live/0121_2.m3u8
安徽卫视,http://113.57.93.165:9900/tsfile/live/0130_1.m3u8
江西卫视,http://113.57.93.165:9900/tsfile/live/0138_1.m3u8
河北卫视,http://183.11.239.36:808/hls/54/index.m3u8
兵团卫视,http://218.13.170.98:9901/tsfile/live/0115_1.m3u8
湖北卫视,http://58.221.214.82:9901/tsfile/live/0132_1.m3u8
新疆卫视,http://119.123.178.225:8086/hls/153/index.m3u8
浙江卫视,http://218.13.170.98:9901/tsfile/live/1002_1.m3u8
安徽卫视,http://183.11.239.36:808/hls/40/index.m3u8
北京卫视,http://116.9.204.242:9901/tsfile/live/0122_1.m3u8
安徽卫视,http://221.226.4.10:9901/tsfile/live/0130_1.m3u8
天津卫视,http://119.123.178.225:8086/hls/140/index.m3u8
四川卫视,http://113.195.8.140:9901/tsfile/live/0123_2.m3u8
贵州卫视,http://119.39.9.8:9901/tsfile/live/0120_1.m3u8
湖南卫视,http://218.13.170.98:9901/tsfile/live/1001_1.m3u8
广西卫视,http://113.15.109.216:59901/tsfile/live/0113_1.m3u8
辽宁卫视,http://61.156.228.12:8154/tsfile/live/0121_1.m3u8
安徽卫视,http://113.195.8.140:9901/tsfile/live/0130_2.m3u8
北京卫视,http://101.65.34.154:9901/tsfile/live/0016_1.m3u8
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
西藏卫视,http://112.132.10.54:9901/tsfile/live/0111_1.m3u8
东方卫视,http://115.149.139.141:10001/tsfile/live/1031_1.m3u8
北京卫视,http://218.3.138.25:1111/tsfile/live/1021_1.m3u8
广西卫视,http://101.66.199.219:9901/tsfile/live/0113_1.m3u8
浙江卫视,http://119.39.9.8:9901/tsfile/live/0124_1.m3u8
