臺灣 Taiwan,#genre#
非凡新聞台,https://pixman.mytvsuper.com.mp/Smart.php?id=feifannews_twn
龍祥時代,https://pixman.mytvsuper.com.mp/Smart.php?id=lungxiangtime_twn
龍華偶像,https://pixman.mytvsuper.com.mp/Smart.php?id=lunghuaidol_twn
龍華戲劇,https://pixman.mytvsuper.com.mp/Smart.php?id=lunghuaxiju_twn
龍華洋片,https://pixman.mytvsuper.com.mp/Smart.php?id=lunghuawestern_twn
龍華經典,https://pixman.mytvsuper.com.mp/Smart.php?id=lunghuajingdian_twn
龍華電影,https://pixman.mytvsuper.com.mp/Smart.php?id=xingwei_movie
馬來西亞 Malaysia,#genre#
TV1,https://pixman.mytvsuper.com.mp/Smart.php?id=TV1
TV1(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=TV1_backup
TV2,https://pixman.mytvsuper.com.mp/Smart.php?id=TV2
TV3,https://pixman.mytvsuper.com.mp/Smart.php?id=TV3
TV3(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=tv3_twn
NTV7,https://pixman.mytvsuper.com.mp/Smart.php?id=NTV7
TV8,https://pixman.mytvsuper.com.mp/Smart.php?id=TV8
TV9,https://pixman.mytvsuper.com.mp/Smart.php?id=TV9
Warna,https://pixman.mytvsuper.com.mp/Smart.php?id=Warna-O
Warna(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=Warna
Ria,https://pixman.mytvsuper.com.mp/Smart.php?id=Ria-0
Ria(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=Ria49
Ria-3,https://pixman.mytvsuper.com.mp/Smart.php?id=Ria_quanjia
Al-Hijrah,https://pixman.mytvsuper.com.mp/Smart.php?id=Alhijrah
Al-Hijrah(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=Alhijrah_backup
Awani,https://pixman.mytvsuper.com.mp/Smart.php?id=Awani
Bernama,https://pixman.mytvsuper.com.mp/Smart.php?id=Bernama
Prima,https://pixman.mytvsuper.com.mp/Smart.php?id=Prima-0
Prima(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=Prima49
Ceria,https://pixman.mytvsuper.com.mp/Smart.php?id=Ceria
Astro MTV,https://pixman.mytvsuper.com.mp/Smart.php?id=AstroMTV
Mecca Live HD,https://pixman.mytvsuper.com.mp/Smart.php?id=quran_mido
Madinah HD,https://pixman.mytvsuper.com.mp/Smart.php?id=sunnah_mido
Oasis,https://pixman.mytvsuper.com.mp/Smart.php?id=Oasis
HBO HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Hbo
HBO Signature,https://pixman.mytvsuper.com.mp/Smart.php?id=Hbosignature
HBO Hits,https://pixman.mytvsuper.com.mp/Smart.php?id=Hbohits
NatGeo Wild HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Natgeowild
Cartoon Network,https://pixman.mytvsuper.com.mp/Smart.php?id=Cn
Nickelodeon,https://pixman.mytvsuper.com.mp/Smart.php?id=Nickelodeon
Nick Jr,https://pixman.mytvsuper.com.mp/Smart.php?id=Nickjr
Citra,https://pixman.mytvsuper.com.mp/Smart.php?id=Citra
Sensasi,https://pixman.mytvsuper.com.mp/Smart.php?id=Sensasi
Aura,https://pixman.mytvsuper.com.mp/Smart.php?id=Aura
Rania,https://pixman.mytvsuper.com.mp/Smart.php?id=Rania
Boo,https://pixman.mytvsuper.com.mp/Smart.php?id=Boo
Awesome TV,https://pixman.mytvsuper.com.mp/Smart.php?id=Awesome_mega
Sony HD,https://pixman.mytvsuper.com.mp/Smart.php?id=SetOne
KBS World,https://pixman.mytvsuper.com.mp/Smart.php?id=KBS
TvN,https://pixman.mytvsuper.com.mp/Smart.php?id=TVN
Astro Premier,https://pixman.mytvsuper.com.mp/Smart.php?id=Astropremier
AEC,https://pixman.mytvsuper.com.mp/Smart.php?id=AEC
華麗台 HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Wlt
歡喜台 HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Huahee
歡喜台(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=Huahee_backup
Astro QJ,https://pixman.mytvsuper.com.mp/Smart.php?id=Quanjia
TVB Jade,https://pixman.mytvsuper.com.mp/Smart.php?id=Tvbjade
TVBS Asia,https://pixman.mytvsuper.com.mp/Smart.php?id=Tvbasia
TVB Entertainment,https://pixman.mytvsuper.com.mp/Smart.php?id=Tvbentertainment
TVB Classic,https://pixman.mytvsuper.com.mp/Smart.php?id=Tvbclassic
AOD,https://pixman.mytvsuper.com.mp/Smart.php?id=AodHD
One,https://pixman.mytvsuper.com.mp/Smart.php?id=One_mega
TVB 星河台,https://pixman.mytvsuper.com.mp/Smart.php?id=Xinhe
愛奇藝,https://pixman.mytvsuper.com.mp/Smart.php?id=Qiyi
Animal Planet (Eng),https://pixman.mytvsuper.com.mp/Smart.php?id=AnimalPlanet
tvN Movie,https://pixman.mytvsuper.com.mp/Smart.php?id=Tvnmovie
CNN(備用),https://pixman.mytvsuper.com.mp/Smart.php?id=cnn_twn
Celestial Classic,https://pixman.mytvsuper.com.mp/Smart.php?id=Celestial2
CNBC,https://pixman.mytvsuper.com.mp/Smart.php?id=cnbc_twn
RTM Sports HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Rtmsport
TLC,https://pixman.mytvsuper.com.mp/Smart.php?id=Tlc
CNA,https://pixman.mytvsuper.com.mp/Smart.php?id=cna
AFC 亞洲旅遊台,https://pixman.mytvsuper.com.mp/Smart.php?id=asiatravel_twn
BBC World News,https://pixman.mytvsuper.com.mp/Smart.php?id=bbcnews_twn
Foodnetwork Hd,https://pixman.mytvsuper.com.mp/Smart.php?id=Foodnetwork_mega
HGTV,https://pixman.mytvsuper.com.mp/Smart.php?id=HGTV
Arena,https://pixman.mytvsuper.com.mp/Smart.php?id=Arena
Goshop,https://pixman.mytvsuper.com.mp/Smart.php?id=Goshop
Celestial Movies HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Celestial_mega
Arena 2,https://pixman.mytvsuper.com.mp/Smart.php?id=Arena2
Axn HD,https://pixman.mytvsuper.com.mp/Smart.php?id=Axn
Paramount Network,https://pixman.mytvsuper.com.mp/Smart.php?id=Paramountnetwork
BolaArena 1,https://pixman.mytvsuper.com.mp/Smart.php?id=Bolaarena1
Astrol Kplus,https://pixman.mytvsuper.com.mp/Smart.php?id=Kplus
Rock Actions,https://pixman.mytvsuper.com.mp/Smart.php?id=Rockaction
Bloomberg News,https://pixman.mytvsuper.com.mp/Smart.php?id=bloomberg_twn
Al-Jazeera,https://pixman.mytvsuper.com.mp/Smart.php?id=aljazeera_twn
Rock Entertainment,https://pixman.mytvsuper.com.mp/Smart.php?id=Rockentertain
Showcase,https://pixman.mytvsuper.com.mp/Smart.php?id=Showcase_mega
BolaArena 2,https://pixman.mytvsuper.com.mp/Smart.php?id=Bolaarena2
